nombre,zona,zona_original,frecuencia_dias,ultima_visita,visitas_registradas,compras,total_comprado,saldo_pendiente,ultima_observacion,activo
CARNICERIA FATIMA,MONTEAGUDO,AV.MONTEGUDO,10,2026-08-13,1,0,0.0,0.0,"NO ESTABA EL ENCARGADO,VISITAR PROXIMA VUELTA",1
CARNICERIA GRANJA ELDORADO,MONTEAGUDO,AV MONTEAGUDO,10,2026-08-04,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LUBRICENTRO ALE ESPOSITO,PARALELA URUGUAY,CALLE PARALELA URUGUAY,10,2026-08-18,1,0,0.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
DAVID REFRIGERACIONES,QUARANTA,AV.QUARANTA,10,2026-07-27,1,0,0.0,0.0,VISITAR EL 11/08,1
DORACI,QUARANTA,AV.QUARANTA,10,2026-07-27,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
FABRICA EL EDEN,QUARANTA,AV.QUARANTA,10,2026-08-15,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
FERRETERIA A LADO DE PLACAS,QUARANTA,AV.QUARANTA,10,2026-08-11,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
FERRETERIA EL CRUCE,QUARANTA,AV.QUARANTA,10,2026-08-12,2,0,0.0,0.0,SE LE ENTREGO PRESUPUESTO,1
FERRETERIA MARCELO,QUARANTA,AV.QUARANTA,10,2026-08-19,1,0,0.0,0.0,PASA PRESUPUESTO,1
GAS MONKEY JAVIER,QUARANTA,AV.QUARANTA,10,2026-08-14,1,1,9000.0,0.0,VISITAR PROXIMA VUELTA,1
GODOY,QUARANTA,AV.QUARANTA,10,2026-07-29,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
HOTEL LA MISION,QUARANTA,AV.QUARANTA,10,2026-08-19,2,0,0.0,0.0,PASA PRESUPUESTO,1
HOTEL OAKY,QUARANTA,AV.QUARANTA,10,2026-08-12,3,2,101100.0,0.0,VISITAR PROXIMA VUELTA,1
JAVIER CHILAVERT,QUARANTA,AV.QUARANTA,10,2026-08-08,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
LA RECETA,QUARANTA,AV.QUARANTA,10,2026-07-28,2,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
MOTOCENTER,QUARANTA,AV.QUARANTA,10,2026-08-19,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
MULTIMARCAS DANIEL,QUARANTA,AV.QUARANTA,10,2026-08-05,1,0,0.0,0.0,POR EL MOMENTO NO REALIZA COMPRAS,1
OLEO HIDRAULICA,QUARANTA,AV.QUARANTA,10,2026-08-20,1,0,0.0,0.0,LLEVAR MUESTRA,1
OMAR CHILAVERT,QUARANTA,AV.QUARANTA,10,2026-08-20,1,1,30300.0,30300.0,SALDO PENDIENTE,1
PANADERIA PANAFLIA,QUARANTA,AV.QUARANTA,10,2026-08-12,3,1,17000.0,0.0,EL JEFE DE ELLOS REALIZO COMPRAS DE LIMPIEZA,1
PLACAS POSADAS,QUARANTA,AV.QUARANTA,10,2026-08-19,4,2,76400.0,0.0,VISITAR PROXIMA VUELTA,1
RIO URUGUAY,QUARANTA,AV.QUARANTA,10,2026-08-05,1,0,0.0,0.0,ME PASARON NUMERO ENCARGADO,1
TALLER GAS MONKEY,QUARANTA,AV.QUARANTA,10,2026-07-27,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CLIENTE NOELIA,RAMIREZ,GENERAL RAMIREZ,10,2026-08-06,1,1,21930.0,0.0,ME LLAMA PARA EL PROXIMO PEDIDO,1
ROTISERIA JOAQUINITO,RIOJA,CALLE RIOJA,10,2026-08-07,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
LA CASA DEL PISO FLOTANTE,ROSALES,CTE ROSALES,10,2026-08-06,1,1,12200.0,12200.0,SALDO PENDIENTE,1
CARLOS ENRIQUE,RUTA 12,RUTA 12,10,2026-08-21,1,0,0.0,0.0,PASAR PRESUPUESTO,1
CHEVROLET GONZALEZ,RUTA 12,RUTA 12,10,2026-08-13,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
EXPRESO SINGER,RUTA 12,RUTA 12,10,2026-08-14,2,1,1500000.0,1500000.0,SALDO PENDIENTE,1
PANADERIA PETRI,RUTA 12,RUTA 12,10,2026-08-21,3,0,0.0,0.0,PASAR PRESUPUESTO,1
DELIDRYNK,SALTA,SALTA Y JUNIN,10,2026-08-01,1,0,0.0,0.0,ME PASARON NUMERO DE ENCARGADO,1
ROTISERIA BLANCA NIEVES,SAN LORENZO,SAN LORENZO,10,2026-07-30,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
AGUILA DORADA,SAN MARTIN,AV.SAN MARTIN,10,2026-08-20,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
EST.DE SERV.AXION,SAN MARTIN,AV.SAN MARTIN Y QUARANTA,10,2026-07-27,2,0,0.0,0.0,VISITAR CENTRAL DE QUARANTA 03/08,1
ESTACION DE SERVICIO AXION,SAN MARTIN,SAN MARTIN Y QUARANTA,10,2026-08-05,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
FERRETERIA DUETE,SAN MARTIN,AV.SAN MARTIN,10,2026-07-29,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
FERRETERIA FERRO80,SAN MARTIN,AV.SAN MARTIN,10,2026-08-06,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
GYM DOMINIUS,SAN MARTIN,AV.SAN MARTIN,10,2026-08-18,2,2,48730.0,0.0,VISITAR PROXIMA VUELTA,1
GYM DOMINUS,SAN MARTIN,AV.SAN MARTIN,10,2026-07-27,1,1,9800.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO FABRICIO,SAN MARTIN,AV.SAN MARTIN,10,2026-08-18,1,1,74300.0,20000.0,CANCELO SALDO PENDIENTE,1
MECANICA SUAREZ,SAN MARTIN,AV.SAN MARTIN,10,2026-08-22,3,1,49000.0,0.0,"NO ESTABA EL ENCARGADO,VISITAR PROXIMA VUELTA",1
PANADERIA TACUARI,SAN MARTIN,AV.SAN MARTIN,10,2026-08-07,2,0,0.0,0.0,VISITAR POR LA MAÑANA,1
PLACAS NORTE,SAN MARTIN,AV.SAN MARTIN,10,2026-08-20,2,1,217060.0,0.0,VISITAR PROXIMA VUELTA,1
RADIADORES BETO,SAN MARTIN,AV.SAN MARTIN,10,2026-08-17,2,1,21100.0,0.0,TODAVIA CON STOCK,1
REPUESTOS ENRIQUE,SAN MARTIN,AV.SAN MARTIN,10,2026-07-29,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER EDUARDO,SAN MARTIN,AV.SAN MARTIN,10,2026-08-19,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER ENRIQUE,SAN MARTIN,AV.SAN MARTIN,10,2026-08-17,3,1,43000.0,0.0,TODAVIA CON STOCK,1
TALLER GERARDO,SAN MARTIN,AV.SAN MARTIN,10,2026-08-11,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
TALLER SAN ALBERTO,SAN MARTIN,AV.SAN MARTIN,10,2026-08-19,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER SHAGY,SAN MARTIN,AV.SAN MARTIN,10,2026-08-05,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
TALLER SUAREZ,SAN MARTIN,AV.SAN MARTIN,10,2026-07-29,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CLUB ATLETICO POSADAS,SANTA CATALINA,AV.SANTA CATALINA,10,2026-07-29,1,0,0.0,0.0,ME PIDIERON MI NUMERO,1
HOTEL BATISTA,SANTA CATALINA,AV.SANTA CATALINA,10,2026-08-15,2,0,0.0,0.0,VISITAR MARTES 18/08,1
HOTEL SANTA CATALINA,SANTA CATALINA,AV.SANTA CATALINA,10,2026-08-15,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO NEW STILO,SANTA CATALINA,AV.SANTA CATALINA,10,2026-08-18,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER EMILIO,SANTA CATALINA,AV.SANTA CATALINA,10,2026-08-20,1,1,21500.0,21500.0,SALDO PENDIENTE,1
TALLER MYM,SANTA CATALINA,AV.SANTA CATALINA,10,2026-08-18,1,1,21500.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA FORTIN,SANTA CRUZ,AV.SANTA CRUZ,10,2026-08-10,1,1,10400.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO ZN,SANTA CRUZ,AV.SANTA CRUZ,10,2026-07-29,2,1,33000.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO ZN SEBA,SANTA CRUZ,AV.SANTA CRUZ,10,2026-08-22,3,3,126000.0,0.0,VISITAR PROXIMA VUELTA,1
LUBRICENTRO HUGO,SANTA CRUZ,AV.SANTA CRUZ,10,2026-08-21,2,0,0.0,0.0,"NO ESTABA EL ENCARGADO,VISITAR PROXIMA VUELTA",1
LUBRICENTRO HUGO SANTA CRUZ,SANTA CRUZ,AV.SANTA CRUZ,10,2026-07-29,1,1,19200.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER VICTOR,SANTA CRUZ,AV.SANTA CRUZ,10,2026-08-21,3,1,13200.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO STAIL,SORIA,CALLE SORIA,10,2026-07-28,1,0,0.0,0.0,COMPRA A GUIDO,1
EVENTOS TACUARI,TACUARI,AV.TACUARI,10,2026-08-07,1,1,17000.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA TACUARI,TACUARI,AV.TACUARI,10,2026-08-13,2,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
FRANK REPUESTOS,TACUARI,AV.TACUARI,10,2026-07-28,1,0,0.0,0.0,VISITAR CENTRAL COCOMAROLA,1
GRANJA POLLOS,TACUARI,AV.TACUARI,10,2026-08-07,1,0,0.0,0.0,POR EL MOMENTO NO REALIZA COMPRAS,1
LAVADERO YONI,TACUARI,AV.TACUARI,10,2026-07-29,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
LUBRICENTRO R18,TACUARI,AV.TACUARI,10,2026-08-17,3,1,28000.0,0.0,CANCELO SALDO PENDIENTE,1
POLLERIA LA GRANJA,TACUARI,AV.TACUARI,10,2026-08-06,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
REPUESTOS VICTORIA,TACUARI,AV.TACUARI,10,2026-08-05,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
VELONA MOTOS,TACUARI,AV.TACUARI,10,2026-07-28,1,0,0.0,0.0,TRAEN DIRECTO DE ALEM,1
LAVADERO POSADAS,TIERRA DEL FUEGO,AV.TIERRA DELFUEGO,10,2026-08-10,3,0,0.0,0.0,VISITAR DESPUES DE LAS 13HR,1
RECTIFICADORA MARTINEZ,TIERRA DEL FUEGO,CALLE COSTADO TIERRA DEL FUEGO,10,2026-08-12,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
SERVANDO MENOR,TIERRA DEL FUEGO,TIERRA DEL FUEGO,10,2026-08-04,2,0,0.0,0.0,SE LE ENTREGO PRESUPUESTO,1
LAVADERO JOSE,TOMAS GUIDO,AV.TOMAS GUIDO,10,2026-08-05,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO MENTI,TOMAS GUIDO,AV.TOMAS GUIDO Y CENTENARIO,10,2026-08-21,2,1,54400.0,22200.0,SALDO PENDIENTE,1
LAVADERO NAIN,TOMAS GUIDO,AV.TOMAS GUIDO,10,2026-08-05,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO POCHI,TOMAS GUIDO,AV.TOMAS GUIDO,10,2026-08-18,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LOCOS POR LA CARNE,TOMAS GUIDO,AV.TOMAS GUIDO,10,2026-08-15,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO LUIS - BESVERGI,TRINCHERA,AV.TRINCHERA,10,2026-08-18,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
MECANICA NEGRI PELOSO,URQUIZA,AV.URQUIZA,10,2026-08-18,1,1,25000.0,0.0,VISITAR PROXIMA VUELTA,1
ESTACION DE SERVICIO SHELL,URUGUAY,AV.URUGUAY,10,2026-08-10,2,0,0.0,0.0,PASAR DE 11AM A 16PM,1
ESTILO CAR,URUGUAY,AV.URUGUAY,10,2026-08-10,1,1,47400.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
YPF,URUGUAY,AV.URUGUAY,10,2026-08-22,2,0,0.0,0.0,VISITAR MARTES Y HABLAR CON ALBERTO,1
COMPRA PARTICULAR CONTACTO SARA,VILLA CABELLO,VILLA CABELLO,10,2026-07-28,2,2,25600.0,0.0,LLAMA PARA PROXIMO PEDIDO,1
DISTRIBUIDORA DE POLLO,VILLA CABELLO,VILLA CABELLO,10,2026-07-27,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
FERRETERIA SEBASTIAN,VILLA CABELLO,VILLA CABELLO,10,2026-08-18,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
GOMERIA /LAVADERO,VILLA CABELLO,VILLA CABELLO,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO ESQUINA BLAS PARERA,VILLA CABELLO,VILLA CABELLO,10,2026-07-28,1,0,0.0,0.0,"POCO INTERES DE COMPRA,YA TIENE PROVEEDOR",1
LAVADERO PULPITO,VILLA CABELLO,VILLA CABELLO,10,2026-07-31,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
MUEBLERIA SANTA FE,VILLA CABELLO,VILLA CABELLO,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
PANADERIA SALINAS,VILLA CABELLO,VILLA CABELLO,10,2026-07-31,2,0,0.0,0.0,ME PIDIO MI NUMERO PARA PASAR PRECIOS,1
SHOWRROM,VILLA CABELLO,VILLA CABELLO,10,2026-07-28,1,0,0.0,0.0,POCO INTERES DE COMPRA,1
VETERINARIA HUELLITAS,VILLA CABELLO,VILLA CABELLO,10,2026-08-18,2,1,9000.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO SERGIO,ZAPIOLA,AV.ZAPIOLA,10,2026-08-05,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
